source,target,weight,source_community,target_community
azure,.net,20.933192346640457,1,1
azure,amazon-web-services,32.322524219339904,1,7
azure,asp.net,48.40702996199019,1,1
azure,asp.net-web-api,24.37090250532431,1,1
azure,c#,32.35092522005943,1,1
.net,sql-server,20.501743858149062,1,1
.net,asp.net,28.074400427611117,1,1
.net,entity-framework,62.167895042923824,1,1
.net,wpf,37.14658992420456,1,1
.net,linq,23.19190040565183,1,1
.net,wcf,50.56672861589973,1,1
.net,c#,24.80008942291756,1,1
sql-server,asp.net,26.61371372468893,1,1
sql-server,asp.net-web-api,28.01067925660409,1,1
sql-server,c#,24.39914442262329,1,1
sql-server,entity-framework,32.94744601093195,1,1
sql-server,linq,21.31860679884144,1,1
sql-server,sql,21.30994959394633,1,1
sql-server,wcf,24.98353120101788,1,1
sql-server,vb.net,32.198071014100535,1,1
asp.net,sql,39.77803622570551,1,1
asp.net,c#,33.661083176336234,1,1
asp.net,asp.net-web-api,50.984730766476574,1,1
asp.net,jquery,33.661083176336234,1,0
asp.net,entity-framework,31.03648178393663,1,1
asp.net,mvc,38.87998222920348,1,1
asp.net,wpf,26.032697164489267,1,1
asp.net,linq,29.840445766924983,1,1
asp.net,wcf,31.62020230471286,1,1
asp.net,vb.net,31.510711170360768,1,1
entity-framework,asp.net-web-api,22.210413043130057,1,1
entity-framework,c#,20.42587841667116,1,1
entity-framework,wpf,24.153685861107466,1,1
entity-framework,linq,39.37662666227728,1,1
entity-framework,wcf,24.43382880528071,1,1
wpf,c#,47.56352702530362,1,1
wpf,linq,30.34794743352026,1,1
wpf,wcf,20.11309966430225,1,1
linq,c#,26.032697164489267,1,1
linq,wcf,23.082664020750425,1,1
wcf,asp.net-web-api,48.583173464083416,1,1
wcf,c#,29.097834547698525,1,1
c#,asp.net-web-api,28.16821301315872,1,1
c#,sql,50.79184563415286,1,1
c#,vb.net,59.82678558413366,1,1
c#,xamarin,22.175589109335288,1,1
c#,unity3d,48.40702996199019,1,1
c#,visual-studio,21.6722646057341,1,1
tdd,agile,59.67328948689907,10,10
codeigniter,ajax,80.4485421720991,0,0
codeigniter,mysql,47.38627215537402,0,0
codeigniter,jquery,28.723178220098205,0,0
codeigniter,laravel,48.1136690894626,0,0
codeigniter,php,22.82841216302881,0,0
codeigniter,wordpress,23.76407299505805,0,0
ajax,jquery,28.15902333873328,0,0
ajax,mysql,31.58127774617085,0,0
ajax,css,40.95142172605998,0,0
ajax,php,23.711346281144564,0,0
ajax,javascript,47.38627215537402,0,0
ajax,json,21.585694763313093,0,0
jquery,angularjs,26.748821548289044,0,2
jquery,bootstrap,20.11309966430225,0,0
jquery,css,25.67647418219353,0,0
jquery,html,28.356535431019815,0,0
jquery,html5,31.18349509959109,0,0
jquery,javascript,20.933192346640457,0,0
jquery,json,22.14448701181891,0,0
jquery,wordpress,21.585694763313093,0,0
jquery,sass,23.76407299505805,0,0
jquery,php,21.30994959394633,0,0
jquery,twitter-bootstrap,38.88811575032741,0,0
jquery,mysql,24.71706557378606,0,0
jquery,twitter-bootstrap-3,27.09695712998492,0,0
mysql,apache,22.40615464900445,0,4
mysql,css,24.71031260188158,0,0
mysql,html,80.89104614147385,0,0
mysql,javascript,22.320432253935472,0,0
mysql,laravel,28.403647769064776,0,0
mysql,mongodb,26.04945930410044,0,2
mysql,php,25.22293164314289,0,0
mysql,postgresql,25.613903617043626,0,2
css,angularjs,80.4485421720991,0,2
css,bootstrap,26.748821548289044,0,0
css,photoshop,30.728425581793207,0,0
css,html,25.185135956324604,0,0
css,javascript,62.167895042923824,0,0
css,html5,45.91465123552504,0,0
css,twitter-bootstrap,24.673147548722167,0,0
css,less,22.14448701181891,0,0
css,wordpress,38.95749217569616,0,0
css,sass,25.000233473145794,0,0
css,php,29.299880033528957,0,0
php,html,27.71554342863794,0,0
php,html5,30.144660032562147,0,0
php,javascript,80.89104614147385,0,0
php,laravel,23.201095658265963,0,0
php,wordpress,24.301045666206715,0,0
javascript,angularjs,21.31860679884144,0,2
javascript,html,22.596885929311604,0,0
javascript,html5,26.729771309673534,0,0
javascript,twitter-bootstrap,31.658709317460826,0,0
javascript,node.js,37.40149646160739,0,2
javascript,reactjs,23.19190040565183,0,2
javascript,sass,25.13313076574851,0,0
json,rest,26.61371372468893,0,3
json,xml,27.010622489444646,0,0
cloud,amazon-web-services,20.85572142496804,7,7
amazon-web-services,devops,66.67420569975171,7,7
amazon-web-services,docker,126.57112712972764,7,7
devops,docker,75.53660009612221,7,7
devops,jenkins,87.13826986156899,7,7
docker,go,24.71031260188158,7,7
docker,jenkins,31.56405510257182,7,7
ios,android,25.340535324481124,6,6
ios,swift,31.264824668848835,6,6
ios,osx,22.210413043130057,6,6
ios,objective-c,40.96336126549837,6,6
ios,iphone,51.447604909108925,6,6
ios,xcode,24.98353120101788,6,6
android,android-studio,24.554202817668248,6,6
android,java,23.602587607535277,6,3
java,c,49.90594295368325,3,5
java,c++,42.33664313992495,3,5
java,hibernate,22.48925264318247,3,3
java,spring,32.198071014100535,3,3
java,jsp,28.375405907346195,3,3
java,java-ee,24.554202817668248,3,3
java,spring-mvc,26.52860759980952,3,3
typescript,angular,24.9192961821526,2,2
typescript,angular2,25.314659453818305,2,2
angular2,angularjs,29.349098676116647,2,2
angularjs,ionic-framework,20.22800685545149,2,2
angularjs,reactjs,28.403647769064776,2,2
angularjs,mongodb,24.37090250532431,2,2
angularjs,sass,24.228201856682706,2,0
angularjs,twitter-bootstrap,48.1136690894626,2,0
angularjs,express,32.62377908692168,2,2
angularjs,node.js,54.00592956009751,2,2
angularjs,asp.net-web-api,32.81595165036012,2,1
angularjs,html5,31.18349509959109,2,0
reactjs,express,30.728425581793207,2,2
reactjs,mongodb,45.26074988295236,2,2
reactjs,node.js,54.50523562629742,2,2
reactjs,react-native,49.61621727834464,2,2
reactjs,sass,54.50523562629742,2,0
reactjs,redux,31.924272588963444,2,2
mongodb,elasticsearch,21.543458417676824,2,2
mongodb,express,24.43382880528071,2,2
mongodb,node.js,58.829076622959285,2,2
mongodb,postgresql,48.76806081178149,2,2
mongodb,redis,25.251371861419308,2,2
sass,html,42.33664313992495,0,0
sass,html5,23.075440145975143,0,0
sass,less,56.20246391729147,0,0
sass,twitter-bootstrap,27.09695712998492,0,0
twitter-bootstrap,html5,27.70879277472438,0,0
express,redux,56.20246391729147,2,2
express,node.js,28.375405907346195,2,2
node.js,react-native,21.62593446217338,2,2
node.js,redux,59.82678558413366,2,2
html5,wordpress,22.757440009799737,0,0
html5,less,39.4069459855106,0,0
html5,twitter-bootstrap-3,32.52356510452292,0,0
nginx,apache,30.232903706376277,4,4
nginx,linux,34.100052024791246,4,4
nginx,redis,21.646667877763228,4,2
apache,linux,21.210956925188103,4,4
