source,target,weight,source_community,target_community
azure,.net,20.933192346640457,0,0
azure,amazon-web-services,32.322524219339904,0,3
azure,asp.net,48.40702996199019,0,0
azure,asp.net-web-api,24.37090250532431,0,0
azure,c#,32.35092522005943,0,0
.net,sql-server,20.501743858149062,0,0
.net,asp.net,28.074400427611117,0,0
.net,entity-framework,62.167895042923824,0,0
.net,wpf,37.14658992420456,0,0
.net,linq,23.19190040565183,0,0
.net,wcf,50.56672861589973,0,0
.net,c#,24.80008942291756,0,0
sql-server,asp.net,26.61371372468893,0,0
sql-server,asp.net-web-api,28.01067925660409,0,0
sql-server,c#,24.39914442262329,0,0
sql-server,entity-framework,32.94744601093195,0,0
sql-server,linq,21.31860679884144,0,0
sql-server,sql,21.30994959394633,0,0
sql-server,wcf,24.98353120101788,0,0
sql-server,vb.net,32.198071014100535,0,0
asp.net,sql,39.77803622570551,0,0
asp.net,c#,33.661083176336234,0,0
asp.net,asp.net-web-api,50.984730766476574,0,0
asp.net,jquery,33.661083176336234,0,2
asp.net,entity-framework,31.03648178393663,0,0
asp.net,mvc,38.87998222920348,0,0
asp.net,wpf,26.032697164489267,0,0
asp.net,linq,29.840445766924983,0,0
asp.net,wcf,31.62020230471286,0,0
asp.net,vb.net,31.510711170360768,0,0
entity-framework,asp.net-web-api,22.210413043130057,0,0
entity-framework,c#,20.42587841667116,0,0
entity-framework,wpf,24.153685861107466,0,0
entity-framework,linq,39.37662666227728,0,0
entity-framework,wcf,24.43382880528071,0,0
wpf,c#,47.56352702530362,0,0
wpf,linq,30.34794743352026,0,0
wpf,wcf,20.11309966430225,0,0
linq,c#,26.032697164489267,0,0
linq,wcf,23.082664020750425,0,0
wcf,asp.net-web-api,48.583173464083416,0,0
wcf,c#,29.097834547698525,0,0
c#,asp.net-web-api,28.16821301315872,0,0
c#,sql,50.79184563415286,0,0
c#,vb.net,59.82678558413366,0,0
c#,xamarin,22.175589109335288,0,0
c#,unity3d,48.40702996199019,0,0
c#,visual-studio,21.6722646057341,0,0
tdd,agile,59.67328948689907,1,1
codeigniter,ajax,80.4485421720991,2,2
codeigniter,mysql,47.38627215537402,2,2
codeigniter,jquery,28.723178220098205,2,2
codeigniter,laravel,48.1136690894626,2,2
codeigniter,php,22.82841216302881,2,2
codeigniter,wordpress,23.76407299505805,2,2
ajax,jquery,28.15902333873328,2,2
ajax,mysql,31.58127774617085,2,2
ajax,css,40.95142172605998,2,2
ajax,php,23.711346281144564,2,2
ajax,javascript,47.38627215537402,2,2
ajax,json,21.585694763313093,2,13
jquery,angularjs,26.748821548289044,2,2
jquery,bootstrap,20.11309966430225,2,2
jquery,css,25.67647418219353,2,2
jquery,html,28.356535431019815,2,2
jquery,html5,31.18349509959109,2,2
jquery,javascript,20.933192346640457,2,2
jquery,json,22.14448701181891,2,13
jquery,wordpress,21.585694763313093,2,2
jquery,sass,23.76407299505805,2,2
jquery,php,21.30994959394633,2,2
jquery,twitter-bootstrap,38.88811575032741,2,2
jquery,mysql,24.71706557378606,2,2
jquery,twitter-bootstrap-3,27.09695712998492,2,2
mysql,apache,22.40615464900445,2,10
