source,target,weight,source_community,target_community
104,21,20.933192346640457,20,20
104,79,21.30994959394633,20,20
104,11,23.76407299505805,20,20
104,52,21.585694763313093,20,20
104,12,22.14448701181891,20,41
21,28,32.322524219339904,20,41
21,11,48.40702996199019,20,20
21,37,24.37090250532431,20,41
21,40,32.35092522005943,20,41
21,38,20.501743858149062,20,41
21,39,28.074400427611117,20,20
21,12,62.167895042923824,20,41
28,11,59.67328948689907,41,20
28,52,25.67647418219353,41,20
28,12,45.91465123552504,41,41
28,37,32.62377908692168,41,41
28,38,20.444792111689296,41,41
28,94,24.35477291784809,41,41
28,39,26.29146633095843,41,20
28,97,21.788893442838376,41,41
11,94,21.6722646057341,20,41
11,12,80.4485421720991,20,41
11,52,47.38627215537402,20,20
11,15,28.723178220098205,20,41
11,37,48.1136690894626,20,41
11,105,22.82841216302881,20,20
11,40,28.15902333873328,20,41
11,38,31.58127774617085,20,41
11,39,40.95142172605998,20,20
11,97,23.711346281144564,20,41
37,52,31.18349509959109,41,20
37,12,30.728425581793207,41,41
37,40,24.228201856682706,41,41
37,38,54.00592956009751,41,41
37,39,32.81595165036012,41,20
40,12,38.95749217569616,41,41
40,38,26.468391555977576,41,41
40,39,53.17990345536856,41,20
38,12,25.22293164314289,41,41
38,39,34.58709265871981,41,20
39,52,28.356535431019815,20,20
39,12,29.299880033528957,20,41
12,52,26.748821548289044,41,20
12,94,25.613903617043626,41,41
12,97,25.185135956324604,41,41
12,103,24.673147548722167,41,31
12,98,25.000233473145794,41,31
12,92,27.71554342863794,41,41
68,69,37.14658992420456,10,10
67,44,23.19190040565183,41,41
67,19,22.596885929311604,41,41
67,15,26.729771309673534,41,41
67,53,31.658709317460826,41,31
67,18,37.40149646160739,41,31
67,59,25.13313076574851,41,31
44,15,50.56672861589973,41,41
44,19,24.80008942291756,41,41
44,1,26.61371372468893,41,41
44,18,28.01067925660409,41,31
44,14,24.39914442262329,41,41
44,56,32.94744601093195,41,31
15,51,30.34794743352026,41,41
15,102,22.40615464900445,41,41
15,1,66.67420569975171,41,41
15,0,44.23362023021944,41,41
15,8,47.49277338891457,41,41
15,14,57.84183152642191,41,41
15,56,20.62957734085586,41,31
15,59,28.87017059988903,41,31
15,25,24.68172813218768,41,41
15,18,46.619090898232265,41,31
15,70,36.79192549817867,41,31
15,19,35.71297781108102,41,41
15,108,21.153243249312748,41,41
19,49,29.097834547698525,41,41
19,1,27.010622489444646,41,41
19,0,21.35568889023083,41,41
19,14,22.91619071652686,41,41
19,53,20.23026605428928,41,31
19,31,26.36926476163211,41,31
19,18,65.07025912410015,41,31
19,93,25.909942488756776,41,20
1,51,22.210413043130057,41,41
1,102,24.71031260188158,41,41
1,112,20.85572142496804,41,41
1,0,126.57112712972764,41,41
1,14,75.53660009612221,41,41
1,8,87.13826986156899,41,41
1,70,31.56405510257182,41,31
1,24,25.340535324481124,41,41
1,59,31.264824668848835,41,31
1,25,40.96336126549837,41,41
1,18,51.447604909108925,41,31
18,0,45.66104087971069,31,41
18,8,32.350506919162136,31,41
18,14,47.3281575555596,31,41
18,53,45.88473321024233,31,31
18,59,41.03704549651282,31,31
14,51,39.37662666227728,41,41
14,0,59.75548884052987,41,41
14,8,47.00636375705097,41,41
14,70,20.23882304372428,41,31
14,30,42.73172932305638,41,41
14,17,33.56735910485145,41,41
14,25,23.782469883653217,41,41
56,72,25.049498396111403,31,20
56,57,42.721668458812765,31,31
111,79,21.31860679884144,20,20
79,99,24.98353120101788,20,20
79,78,32.198071014100535,20,20
99,78,24.554202817668248,20,20
99,77,23.602587607535277,20,11
78,91,28.375405907346195,20,20
78,77,26.52860759980952,20,11
6,41,39.77803622570551,20,11
6,7,87.21964246099864,20,20
6,81,30.341581071883272,20,20
6,13,78.75928046651394,20,20
6,32,57.15857405623158,20,20
6,48,46.36509077387072,20,20
41,75,33.661083176336234,11,11
41,42,50.984730766476574,11,11
42,9,26.04945930410044,11,11
42,10,23.201095658265963,11,20
42,2,32.52356510452292,11,11
42,3,43.954259225314345,11,11
42,62,21.619803035260286,11,11
42,60,25.11618282046237,11,20
42,20,25.041214810765112,11,11
66,80,31.03648178393663,41,41
66,65,38.87998222920348,41,41
65,51,26.032697164489267,41,41
51,86,29.840445766924983,41,41
51,17,31.62020230471286,41,41
51,31,31.510711170360768,41,31
51,25,20.42587841667116,41,41
51,70,24.153685861107466,41,31
51,29,24.43382880528071,41,41
51,30,47.56352702530362,41,41
51,52,20.11309966430225,41,20
51,8,23.082664020750425,41,41
17,29,31.924272588963444,41,41
17,31,22.3209731892725,41,31
17,30,55.19274755197871,41,41
17,22,61.53102297253567,41,41
17,25,24.9979588147436,41,41
17,16,65.12985505970208,41,41
